SKU,Name,Description,Collection Name,Style,Size,Size Association,Shape,Color,Cost (Ex.GST),Sell,RRP,Freight-incGST,Length,Width,Height,UnitWeight,Origin,Construction,Material,Pileheight,Barcode,Youtube Link,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Dropbox Images Folder,Dropbox Images Folder High Resolution,Image1,Image2,Image3,Image4,Image5,Image6,Image7,Image8,Image9
401-OATMEAL-165X115,Wool Hand Loomed Rug - Box Oatmeal - 165x115cm,"You'll love the blissful tones of this plush wool rug, and rightly so! The magnificent design and tones of this rug are sure to add a spirited touch to any room. Hand tufted, hand carved, and with a pile height of 2cm, this wool rug offers quality to suit your style of living. Like any handmade wool rug, this rug is velvet soft to the touch. With rich colours and elegantly simple geometrical design, this rug will compliment your decor by offering a distinctly sophisticated feel.

FEATURES:

100% wool
Multi textured pile
Hand tufted and carved
Contemporary design
Finest quality
Dense 2cm plush pile

IMPORTANT TIP: We recommend that an anti-slip pad such as Total Grip is used underneath rugs to prevent slippage between the rug and the surface it is placed on.

Please note:
Allow for a slight variation of colours depending on monitor settings.
Please Note: This item cannot be delivered to a PO Box, only to a street address.",NEW TIMELESS,"Contemporary, Scandi",165X115CM,Small,Rectangle,Oatmeal,54,119,399,29.95,115,15,15,8,INDIA,HAND LOOMED,WOOL,20MM,9.80081E+11,,,,,,,,,,,,,,,,,,,,
401-OATMEAL-225X155,Wool Hand Loomed Rug - Box Oatmeal - 225x155cm,"You'll love the blissful tones of this plush wool rug, and rightly so! The magnificent design and tones of this rug are sure to add a spirited touch to any room. Hand tufted, hand carved, and with a pile height of 2cm, this wool rug offers quality to suit your style of living. Like any handmade wool rug, this rug is velvet soft to the touch. With rich colours and elegantly simple geometrical design, this rug will compliment your decor by offering a distinctly sophisticated feel.

FEATURES:

100% wool
Multi textured pile
Hand tufted and carved
Contemporary design
Finest quality
Dense 2cm plush pile

IMPORTANT TIP: We recommend that an anti-slip pad such as Total Grip is used underneath rugs to prevent slippage between the rug and the surface it is placed on.

Please note:
Allow for a slight variation of colours depending on monitor settings.
Please Note: This item cannot be delivered to a PO Box, only to a street address.",NEW TIMELESS,"Contemporary, Scandi",225X155CM,Medium,Rectangle,Oatmeal,95,199,950,29.95,155,16,16,10,INDIA,HAND LOOMED,WOOL,20MM,9.80081E+11,,,,,,,,,,,,,,,,,,,,
401-OATMEAL-280X190,Wool Hand Loomed Rug - Box Oatmeal - 280x190cm,"You'll love the blissful tones of this plush wool rug, and rightly so! The magnificent design and tones of this rug are sure to add a spirited touch to any room. Hand tufted, hand carved, and with a pile height of 2cm, this wool rug offers quality to suit your style of living. Like any handmade wool rug, this rug is velvet soft to the touch. With rich colours and elegantly simple geometrical design, this rug will compliment your decor by offering a distinctly sophisticated feel.

FEATURES:

100% wool
Multi textured pile
Hand tufted and carved
Contemporary design
Finest quality
Dense 2cm plush pile

IMPORTANT TIP: We recommend that an anti-slip pad such as Total Grip is used underneath rugs to prevent slippage between the rug and the surface it is placed on.

Please note:
Allow for a slight variation of colours depending on monitor settings.
Please Note: This item cannot be delivered to a PO Box, only to a street address.",NEW TIMELESS,"Contemporary, Scandi",280X190CM,Large,Rectangle,Oatmeal,150,299,1550,29.95,190,20,20,16,INDIA,HAND LOOMED,WOOL,20MM,9.80081E+11,,,,,,,,,,,,,,,,,,,,
401-OATMEAL-320X230,Wool Hand Loomed Rug - Box Oatmeal - 320x230cm,"You'll love the blissful tones of this plush wool rug, and rightly so! The magnificent design and tones of this rug are sure to add a spirited touch to any room. Hand tufted, hand carved, and with a pile height of 2cm, this wool rug offers quality to suit your style of living. Like any handmade wool rug, this rug is velvet soft to the touch. With rich colours and elegantly simple geometrical design, this rug will compliment your decor by offering a distinctly sophisticated feel.

FEATURES:

100% wool
Multi textured pile
Hand tufted and carved
Contemporary design
Finest quality
Dense 2cm plush pile

IMPORTANT TIP: We recommend that an anti-slip pad such as Total Grip is used underneath rugs to prevent slippage between the rug and the surface it is placed on.

Please note:
Allow for a slight variation of colours depending on monitor settings.
Please Note: This item cannot be delivered to a PO Box, only to a street address.",NEW TIMELESS,"Contemporary, Scandi",320X230CM,Extra Large,Rectangle,Oatmeal,230,429,2290,29.95,230,22,22,24,INDIA,HAND LOOMED,WOOL,20MM,9.80081E+11,,,,,,,,,,,,,,,,,,,,
401-OATMEAL-400X80,Wool Hand Loomed Rug - Box Oatmeal - 400x80cm,"You'll love the blissful tones of this plush wool rug, and rightly so! The magnificent design and tones of this rug are sure to add a spirited touch to any room. Hand tufted, hand carved, and with a pile height of 2cm, this wool rug offers quality to suit your style of living. Like any handmade wool rug, this rug is velvet soft to the touch. With rich colours and elegantly simple geometrical design, this rug will compliment your decor by offering a distinctly sophisticated feel.

FEATURES:

100% wool
Multi textured pile
Hand tufted and carved
Contemporary design
Finest quality
Dense 2cm plush pile

IMPORTANT TIP: We recommend that an anti-slip pad such as Total Grip is used underneath rugs to prevent slippage between the rug and the surface it is placed on.

Please note:
Allow for a slight variation of colours depending on monitor settings.
Please Note: This item cannot be delivered to a PO Box, only to a street address.",NEW TIMELESS,"Contemporary, Scandi",400X80CM,Large,Runner,Oatmeal,82,149,499,29.95,80,18,18,8,INDIA,HAND LOOMED,WOOL,20MM,9.80081E+11,,,,,,,,,,,,,,,,,,,,
ABO-CHE-BLUE-225X155,Modern Flatweave Chevron Design Blue Rug 225x155cm,"With natural fibres from renewable resources, these rugs use lengths of yarn that have been knotted together to form a continuous strand. Hand loomed into a hard wearing, double sided rug, each featuring simple but engaging diamond or chevron pattern in various colour palettes. These rugs can be used to make a clear and beautiful statement of design or help tie a room's decor scheme together.

Features:

Dense 7mm pile height
Flat weave construction
Hand Made in India
Double sided
Easy to vacuum

IMPORTANT TIP: We recommend that an anti-slip pad such as Total Grip is used underneath rugs to prevent slippage between the rug and the surface it is placed on.

Please note:
Allow for a slight variation of colours depending on monitor settings.
Please Note: This item cannot be delivered to a PO Box, only to a street address.",ABODE,"Contemporary, Scandi, Bohemian",225X155CM,Medium,Rectangle,Blue,62.34,129,399,29.95,155,15,15,7.8,INDIA,HAND LOOMED,50% COTTON + 50% JUTE,5MM,9.80081E+11,,,,,,,,,,,,,,,,,,,,
ABO-CHE-BLUE-280X190,Modern Flatweave Chevron Design Blue Rug 280x190cm,"With natural fibres from renewable resources, these rugs use lengths of yarn that have been knotted together to form a continuous strand. Hand loomed into a hard wearing, double sided rug, each featuring simple but engaging diamond or chevron pattern in various colour palettes. These rugs can be used to make a clear and beautiful statement of design or help tie a room's decor scheme together.

Features:

Dense 7mm pile height
Flat weave construction
Hand Made in India
Double sided
Easy to vacuum

IMPORTANT TIP: We recommend that an anti-slip pad such as Total Grip is used underneath rugs to prevent slippage between the rug and the surface it is placed on.

Please note:
Allow for a slight variation of colours depending on monitor settings.
Please Note: This item cannot be delivered to a PO Box, only to a street address.",ABODE,"Contemporary, Scandi, Bohemian",280X190CM,Large,Rectangle,Blue,95.1,179,649,29.95,190,16,16,13.7,INDIA,HAND LOOMED,50% COTTON + 50% JUTE,5MM,9.80081E+11,,,,,,,,,,,,,,,,,,,,
ABO-CHE-GREY-280X190,Modern Flatweave Chevron Design Grey Rug 280x190cm,"With natural fibres from renewable resources, these rugs use lengths of yarn that have been knotted together to form a continuous strand. Hand loomed into a hard wearing, double sided rug, each featuring simple but engaging diamond or chevron pattern in various colour palettes. These rugs can be used to make a clear and beautiful statement of design or help tie a room's decor scheme together.

Features:

Dense 7mm pile height
Flat weave construction
Hand Made in India
Double sided
Easy to vacuum

IMPORTANT TIP: We recommend that an anti-slip pad such as Total Grip is used underneath rugs to prevent slippage between the rug and the surface it is placed on.

Please note:
Allow for a slight variation of colours depending on monitor settings.
Please Note: This item cannot be delivered to a PO Box, only to a street address.",ABODE,"Contemporary, Scandi",280X190CM,Large,Rectangle,Grey,95.1,179,649,29.95,190,16,16,13.7,INDIA,HAND LOOMED,50% COTTON + 50% JUTE,5MM,9.80081E+11,,,,,,,,,,,,,,,,,,,,
ABO-CHE-GRN-225X155,Modern Flatweave Chevron Design Green Rug 225x155cm,"With natural fibres from renewable resources, these rugs use lengths of yarn that have been knotted together to form a continuous strand. Hand loomed into a hard wearing, double sided rug, each featuring simple but engaging diamond or chevron pattern in various colour palettes. These rugs can be used to make a clear and beautiful statement of design or help tie a room's decor scheme together.

Features:

Dense 7mm pile height
Flat weave construction
Hand Made in India
Double sided
Easy to vacuum

IMPORTANT TIP: We recommend that an anti-slip pad such as Total Grip is used underneath rugs to prevent slippage between the rug and the surface it is placed on.

Please note:
Allow for a slight variation of colours depending on monitor settings.
Please Note: This item cannot be delivered to a PO Box, only to a street address.",ABODE,"Contemporary, Bohemian",225X155CM,Medium,Rectangle,Green,62.34,129,399,29.95,155,15,15,7.8,INDIA,HAND LOOMED,50% COTTON + 50% JUTE,5MM,9.80081E+11,,,,,,,,,,,,,,,,,,,,
ABO-CHE-GRN-280X190,Modern Flatweave Chevron Design Green Rug 280x190cm,"With natural fibres from renewable resources, these rugs use lengths of yarn that have been knotted together to form a continuous strand. Hand loomed into a hard wearing, double sided rug, each featuring simple but engaging diamond or chevron pattern in various colour palettes. These rugs can be used to make a clear and beautiful statement of design or help tie a room's decor scheme together.

Features:

Dense 7mm pile height
Flat weave construction
Hand Made in India
Double sided
Easy to vacuum

IMPORTANT TIP: We recommend that an anti-slip pad such as Total Grip is used underneath rugs to prevent slippage between the rug and the surface it is placed on.

Please note:
Allow for a slight variation of colours depending on monitor settings.
Please Note: This item cannot be delivered to a PO Box, only to a street address.",ABODE,"Contemporary, Bohemian",280X190CM,Large,Rectangle,Green,95.1,179,649,29.95,190,16,16,13.7,INDIA,HAND LOOMED,50% COTTON + 50% JUTE,5MM,9.80081E+11,,,,,,,,,,,,,,,,,,,,
ABO-CHE-GRN-320X230,Modern Flatweave Chevron Design Green Rug 320x230cm,"With natural fibres from renewable resources, these rugs use lengths of yarn that have been knotted together to form a continuous strand. Hand loomed into a hard wearing, double sided rug, each featuring simple but engaging diamond or chevron pattern in various colour palettes. These rugs can be used to make a clear and beautiful statement of design or help tie a room's decor scheme together.

Features:

Dense 7mm pile height
Flat weave construction
Hand Made in India
Double sided
Easy to vacuum

IMPORTANT TIP: We recommend that an anti-slip pad such as Total Grip is used underneath rugs to prevent slippage between the rug and the surface it is placed on.

Please note:
Allow for a slight variation of colours depending on monitor settings.
Please Note: This item cannot be delivered to a PO Box, only to a street address.",ABODE,"Contemporary, Bohemian",320X230CM,Extra Large,Rectangle,Green,131.56,259,899,29.95,230,19,19,18.5,INDIA,HAND LOOMED,50% COTTON + 50% JUTE,5MM,9.80081E+11,,,,,,,,,,,,,,,,,,,,
ABO-CHE-PINK-225X155,Modern Flatweave Chevron Design Pink Rug 225x155cm,"With natural fibres from renewable resources, these rugs use lengths of yarn that have been knotted together to form a continuous strand. Hand loomed into a hard wearing, double sided rug, each featuring simple but engaging diamond or chevron pattern in various colour palettes. These rugs can be used to make a clear and beautiful statement of design or help tie a room's decor scheme together.

Features:

Dense 7mm pile height
Flat weave construction
Hand Made in India
Double sided
Easy to vacuum

IMPORTANT TIP: We recommend that an anti-slip pad such as Total Grip is used underneath rugs to prevent slippage between the rug and the surface it is placed on.

Please note:
Allow for a slight variation of colours depending on monitor settings.
Please Note: This item cannot be delivered to a PO Box, only to a street address.",ABODE,"Contemporary, Bohemian",225X155CM,Medium,Rectangle,Pink,62.34,129,399,29.95,155,15,15,7.8,INDIA,HAND LOOMED,50% COTTON + 50% JUTE,5MM,9.80081E+11,,,,,,,,,,,,,,,,,,,,
ABO-CHE-PINK-280X190,Modern Flatweave Chevron Design Pink Rug 280x190cm,"With natural fibres from renewable resources, these rugs use lengths of yarn that have been knotted together to form a continuous strand. Hand loomed into a hard wearing, double sided rug, each featuring simple but engaging diamond or chevron pattern in various colour palettes. These rugs can be used to make a clear and beautiful statement of design or help tie a room's decor scheme together.

Features:

Dense 7mm pile height
Flat weave construction
Hand Made in India
Double sided
Easy to vacuum

IMPORTANT TIP: We recommend that an anti-slip pad such as Total Grip is used underneath rugs to prevent slippage between the rug and the surface it is placed on.

Please note:
Allow for a slight variation of colours depending on monitor settings.
Please Note: This item cannot be delivered to a PO Box, only to a street address.",ABODE,"Contemporary, Bohemian",280X190CM,Large,Rectangle,Pink,95.1,179,649,29.95,190,16,16,13.7,INDIA,HAND LOOMED,50% COTTON + 50% JUTE,5MM,9.80081E+11,,,,,,,,,,,,,,,,,,,,
ABO-CHE-PINK-320X230,Modern Flatweave Chevron Design Pink Rug 320x230cm,"With natural fibres from renewable resources, these rugs use lengths of yarn that have been knotted together to form a continuous strand. Hand loomed into a hard wearing, double sided rug, each featuring simple but engaging diamond or chevron pattern in various colour palettes. These rugs can be used to make a clear and beautiful statement of design or help tie a room's decor scheme together.

Features:

Dense 7mm pile height
Flat weave construction
Hand Made in India
Double sided
Easy to vacuum

IMPORTANT TIP: We recommend that an anti-slip pad such as Total Grip is used underneath rugs to prevent slippage between the rug and the surface it is placed on.

Please note:
Allow for a slight variation of colours depending on monitor settings.
Please Note: This item cannot be delivered to a PO Box, only to a street address.",ABODE,"Contemporary, Bohemian",320X230CM,Extra Large,Rectangle,Pink,131.56,259,899,29.95,230,19,19,18.5,INDIA,HAND LOOMED,50% COTTON + 50% JUTE,5MM,9.80081E+11,,,,,,,,,,,,,,,,,,,,
ABO-CHE-PUR-225X155,Modern Flatweave Chevron Design Purple Rug 225x155cm,"With natural fibres from renewable resources, these rugs use lengths of yarn that have been knotted together to form a continuous strand. Hand loomed into a hard wearing, double sided rug, each featuring simple but engaging diamond or chevron pattern in various colour palettes. These rugs can be used to make a clear and beautiful statement of design or help tie a room's decor scheme together.

Features:

Dense 7mm pile height
Flat weave construction
Hand Made in India
Double sided
Easy to vacuum

IMPORTANT TIP: We recommend that an anti-slip pad such as Total Grip is used underneath rugs to prevent slippage between the rug and the surface it is placed on.

Please note:
Allow for a slight variation of colours depending on monitor settings.
Please Note: This item cannot be delivered to a PO Box, only to a street address.",ABODE,"Contemporary, Bohemian",225X155CM,Medium,Rectangle,Purple,62.34,129,399,29.95,155,15,15,7.8,INDIA,HAND LOOMED,50% COTTON + 50% JUTE,5MM,9.80081E+11,,,,,,,,,,,,,,,,,,,,
ABO-CHE-PUR-320X230,Modern Flatweave Chevron Design Purple Rug 320x230cm,"With natural fibres from renewable resources, these rugs use lengths of yarn that have been knotted together to form a continuous strand. Hand loomed into a hard wearing, double sided rug, each featuring simple but engaging diamond or chevron pattern in various colour palettes. These rugs can be used to make a clear and beautiful statement of design or help tie a room's decor scheme together.

Features:

Dense 7mm pile height
Flat weave construction
Hand Made in India
Double sided
Easy to vacuum

IMPORTANT TIP: We recommend that an anti-slip pad such as Total Grip is used underneath rugs to prevent slippage between the rug and the surface it is placed on.

Please note:
Allow for a slight variation of colours depending on monitor settings.
Please Note: This item cannot be delivered to a PO Box, only to a street address.",ABODE,"Contemporary, Bohemian",320X230CM,Extra Large,Rectangle,Purple,131.56,259,899,29.95,230,19,19,18.5,INDIA,HAND LOOMED,50% COTTON + 50% JUTE,5MM,9.80081E+11,,,,,,,,,,,,,,,,,,,,
ABO-CHE-RED-225X155,Modern Flatweave Chevron Design Red Rug 225x155cm,"With natural fibres from renewable resources, these rugs use lengths of yarn that have been knotted together to form a continuous strand. Hand loomed into a hard wearing, double sided rug, each featuring simple but engaging diamond or chevron pattern in various colour palettes. These rugs can be used to make a clear and beautiful statement of design or help tie a room's decor scheme together.

Features:

Dense 7mm pile height
Flat weave construction
Hand Made in India
Double sided
Easy to vacuum

IMPORTANT TIP: We recommend that an anti-slip pad such as Total Grip is used underneath rugs to prevent slippage between the rug and the surface it is placed on.

Please note:
Allow for a slight variation of colours depending on monitor settings.
Please Note: This item cannot be delivered to a PO Box, only to a street address.",ABODE,"Contemporary, Bohemian",225X155CM,Medium,Rectangle,Red,62.34,129,399,29.95,155,15,15,7.8,INDIA,HAND LOOMED,50% COTTON + 50% JUTE,5MM,9.80081E+11,,,,,,,,,,,,,,,,,,,,
ABO-CHE-RED-280X190,Modern Flatweave Chevron Design Red Rug 280x190cm,"With natural fibres from renewable resources, these rugs use lengths of yarn that have been knotted together to form a continuous strand. Hand loomed into a hard wearing, double sided rug, each featuring simple but engaging diamond or chevron pattern in various colour palettes. These rugs can be used to make a clear and beautiful statement of design or help tie a room's decor scheme together.

Features:

Dense 7mm pile height
Flat weave construction
Hand Made in India
Double sided
Easy to vacuum

IMPORTANT TIP: We recommend that an anti-slip pad such as Total Grip is used underneath rugs to prevent slippage between the rug and the surface it is placed on.

Please note:
Allow for a slight variation of colours depending on monitor settings.
Please Note: This item cannot be delivered to a PO Box, only to a street address.",ABODE,"Contemporary, Bohemian",280X190CM,Large,Rectangle,Red,95.1,179,649,29.95,190,16,16,13.7,INDIA,HAND LOOMED,50% COTTON + 50% JUTE,5MM,9.80081E+11,,,,,,,,,,,,,,,,,,,,
